Vivado Simulator 2020.1
Time resolution is 1 ps
Processor started. Waiting in IDLE loop...
Time: 25000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 35000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 45000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 55000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 65000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 75000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 85000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 95000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 105000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 115000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Flipping switches to 6...
Time: 125000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 135000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 145000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 155000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 165000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 175000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 185000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 195000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 205000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 215000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 225000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 235000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 245000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 255000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 265000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 275000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 285000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 295000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 305000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 315000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 325000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 335000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 345000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 355000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 365000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 375000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 385000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 395000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 405000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 415000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 425000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 435000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 445000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 455000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 465000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 475000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 485000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 495000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 505000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 515000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 525000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 535000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 545000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
