Vivado Simulator 2020.1
Time resolution is 1 ps
Time: 5000 ns | LEDs changed to: 0000
Processor started. Waiting in IDLE loop...
Time: 25000 ns | PC: 00000000 | MemtoReg: 00 | Jump: 0 | Jalr: 0
Time: 35000 ns | PC: 00000004 | MemtoReg: 00 | Jump: 0 | Jalr: 0
Time: 45000 ns | PC: 00000008 | MemtoReg: 00 | Jump: 0 | Jalr: 0
Time: 55000 ns | PC: 0000000c | MemtoReg: 01 | Jump: 0 | Jalr: 0
Time: 65000 ns | PC: 00000010 | MemtoReg: 00 | Jump: 0 | Jalr: 0
Time: 75000 ns | PC: 0000000c | MemtoReg: 01 | Jump: 0 | Jalr: 0
Time: 85000 ns | PC: 00000010 | MemtoReg: 00 | Jump: 0 | Jalr: 0
Time: 95000 ns | PC: 0000000c | MemtoReg: 01 | Jump: 0 | Jalr: 0
Time: 105000 ns | PC: 00000010 | MemtoReg: 00 | Jump: 0 | Jalr: 0
Time: 115000 ns | PC: 0000000c | MemtoReg: 01 | Jump: 0 | Jalr: 0
Flipping switches to 6...
Time: 125000 ns | PC: 00000010 | MemtoReg: 00 | Jump: 0 | Jalr: 0
Time: 135000 ns | PC: 0000000c | MemtoReg: 01 | Jump: 0 | Jalr: 0
Time: 145000 ns | PC: 00000010 | MemtoReg: 00 | Jump: 0 | Jalr: 0
Time: 155000 ns | PC: 00000014 | MemtoReg: 10 | Jump: 1 | Jalr: 0
Time: 165000 ns | PC: 0000002c | MemtoReg: 00 | Jump: 0 | Jalr: 0
Time: 175000 ns | PC: 00000030 | MemtoReg: 00 | Jump: 0 | Jalr: 0
Time: 185000 ns | PC: 00000034 | MemtoReg: 00 | Jump: 0 | Jalr: 0
Time: 195000 ns | PC: 00000038 | MemtoReg: 00 | Jump: 0 | Jalr: 0
Time: 205000 ns | PC: 0000003c | MemtoReg: 00 | Jump: 0 | Jalr: 0
Time: 215000 ns | PC: 00000040 | MemtoReg: 00 | Jump: 0 | Jalr: 0
Time: 225000 ns | PC: 00000044 | MemtoReg: 00 | Jump: 0 | Jalr: 0
Time: 235000 ns | PC: 00000048 | MemtoReg: 00 | Jump: 0 | Jalr: 0
Time: 245000 ns | PC: 0000004c | MemtoReg: 00 | Jump: 0 | Jalr: 0
Time: 255000 ns | PC: 00000050 | MemtoReg: 00 | Jump: 0 | Jalr: 0
Time: 265000 ns | PC: 00000054 | MemtoReg: 00 | Jump: 0 | Jalr: 0
Time: 275000 ns | PC: 00000058 | MemtoReg: 00 | Jump: 0 | Jalr: 0
Time: 285000 ns | PC: 0000005c | MemtoReg: 00 | Jump: 0 | Jalr: 0
Time: 295000 ns | PC: 00000060 | MemtoReg: 00 | Jump: 0 | Jalr: 0
Time: 305000 ns | PC: 00000050 | MemtoReg: 00 | Jump: 0 | Jalr: 0
Time: 315000 ns | PC: 00000054 | MemtoReg: 00 | Jump: 0 | Jalr: 0
Time: 325000 ns | PC: 00000058 | MemtoReg: 00 | Jump: 0 | Jalr: 0
Time: 335000 ns | PC: 0000005c | MemtoReg: 00 | Jump: 0 | Jalr: 0
Time: 345000 ns | PC: 00000060 | MemtoReg: 00 | Jump: 0 | Jalr: 0
Time: 355000 ns | PC: 00000050 | MemtoReg: 00 | Jump: 0 | Jalr: 0
Time: 365000 ns | PC: 00000054 | MemtoReg: 00 | Jump: 0 | Jalr: 0
Time: 375000 ns | PC: 00000058 | MemtoReg: 00 | Jump: 0 | Jalr: 0
Time: 385000 ns | PC: 0000005c | MemtoReg: 00 | Jump: 0 | Jalr: 0
Time: 395000 ns | PC: 00000060 | MemtoReg: 00 | Jump: 0 | Jalr: 0
Time: 405000 ns | PC: 00000050 | MemtoReg: 00 | Jump: 0 | Jalr: 0
Time: 415000 ns | PC: 00000054 | MemtoReg: 00 | Jump: 0 | Jalr: 0
Time: 425000 ns | PC: 00000058 | MemtoReg: 00 | Jump: 0 | Jalr: 0
Time: 435000 ns | PC: 0000005c | MemtoReg: 00 | Jump: 0 | Jalr: 0
Time: 445000 ns | PC: 00000060 | MemtoReg: 00 | Jump: 0 | Jalr: 0
Time: 455000 ns | PC: 00000050 | MemtoReg: 00 | Jump: 0 | Jalr: 0
Time: 465000 ns | PC: 00000054 | MemtoReg: 00 | Jump: 0 | Jalr: 0
Time: 475000 ns | PC: 00000058 | MemtoReg: 00 | Jump: 0 | Jalr: 0
Time: 485000 ns | PC: 0000005c | MemtoReg: 00 | Jump: 0 | Jalr: 0
Time: 495000 ns | PC: 00000060 | MemtoReg: 00 | Jump: 0 | Jalr: 0
Time: 505000 ns | PC: 00000064 | MemtoReg: 00 | Jump: 0 | Jalr: 0
Time: 515000 ns | PC: 00000068 | MemtoReg: 01 | Jump: 0 | Jalr: 0
Time: 525000 ns | PC: 0000006c | MemtoReg: 01 | Jump: 0 | Jalr: 0
Time: 535000 ns | PC: 00000070 | MemtoReg: 01 | Jump: 0 | Jalr: 0
Time: 545000 ns | PC: 00000074 | MemtoReg: 00 | Jump: 0 | Jalr: 0
Time: 555000 ns | PC: 00000078 | MemtoReg: 10 | Jump: 1 | Jalr: 1
Time: 565000 ns | PC: 00000018 | MemtoReg: 00 | Jump: 0 | Jalr: 0
Time: 565000 ns | LEDs changed to: 0008
Time: 575000 ns | PC: 0000001c | MemtoReg: 01 | Jump: 0 | Jalr: 0
Time: 585000 ns | PC: 00000020 | MemtoReg: 00 | Jump: 0 | Jalr: 0
Time: 595000 ns | PC: 0000001c | MemtoReg: 01 | Jump: 0 | Jalr: 0
Time: 605000 ns | PC: 00000020 | MemtoReg: 00 | Jump: 0 | Jalr: 0
Time: 615000 ns | PC: 0000001c | MemtoReg: 01 | Jump: 0 | Jalr: 0
Time: 625000 ns | PC: 00000020 | MemtoReg: 00 | Jump: 0 | Jalr: 0
Time: 635000 ns | PC: 0000001c | MemtoReg: 01 | Jump: 0 | Jalr: 0
Time: 645000 ns | PC: 00000020 | MemtoReg: 00 | Jump: 0 | Jalr: 0
Time: 655000 ns | PC: 0000001c | MemtoReg: 01 | Jump: 0 | Jalr: 0
Time: 665000 ns | PC: 00000020 | MemtoReg: 00 | Jump: 0 | Jalr: 0
Time: 675000 ns | PC: 0000001c | MemtoReg: 01 | Jump: 0 | Jalr: 0
Time: 685000 ns | PC: 00000020 | MemtoReg: 00 | Jump: 0 | Jalr: 0
Time: 695000 ns | PC: 0000001c | MemtoReg: 01 | Jump: 0 | Jalr: 0
Time: 705000 ns | PC: 00000020 | MemtoReg: 00 | Jump: 0 | Jalr: 0
Time: 715000 ns | PC: 0000001c | MemtoReg: 01 | Jump: 0 | Jalr: 0
Time: 725000 ns | PC: 00000020 | MemtoReg: 00 | Jump: 0 | Jalr: 0
Time: 735000 ns | PC: 0000001c | MemtoReg: 01 | Jump: 0 | Jalr: 0
Time: 745000 ns | PC: 00000020 | MemtoReg: 00 | Jump: 0 | Jalr: 0
Time: 755000 ns | PC: 0000001c | MemtoReg: 01 | Jump: 0 | Jalr: 0
